Year,EGY,GHA,MYS,NGA,ZAF
1970,1079.49,4242.51,3256.32,4532.67,7706.42
1971,1075.69,4225.36,3765,4938.75,7614.59
1972,1118.88,3520.87,3839.96,5177.46,7733.44
1973,1104.35,3890.95,4511.47,5757.14,8629.7
1974,1194.05,4210.5,4817.29,6562.21,8927.96
1975,1214.05,3692.21,4403.31,6225.14,8591.91
1976,1223.37,3248.84,5155.76,6249.86,8287.01
1977,1267.4,3732.26,5475.66,7061.76,8066.41
1978,1298.87,3656.29,5655.42,6849.32,8249.07
1979,1261.84,3375.84,6256.71,6276.13,8508
1980,1267.24,3320.37,6630.15,5653.45,9491.18
1981,1414.69,3028.2,6533.51,5333.76,9195.98
1982,1388.58,2482.87,6709.16,5223.96,8958.16
1983,1559.56,2384.87,7106.38,4984.11,8935.4
1984,1720.33,2512.02,7696.18,4450.32,8959.18
1985,1793.6,2631.11,7172.13,4752.62,8739.4
1986,1763.28,2617.44,6383.57,1443.23,8373.95
1987,1768.07,2603.56,6770.64,1093.97,8531.55
1988,1700.86,2785.84,7273.17,952.86,8568.45
1989,1842.78,2702.79,7646.79,917.46,8557.4
1990,2012.93,1236.573963,6814.055477,2057.82207,6416.79111
1991,3792.638593,1307.495978,7512.697364,2081.365602,6406.35903
1992,3966.762142,1349.592438,8154.094,2171.923772,6254.199953
1993,4093.87856,1407.810808,8946.306263,2124.30681,6324.24271
1994,4260.963461,1444.52406,9733.019048,2077.831582,6513.109921
1995,4461.845397,1494.638885,10642.10747,2067.729076,6711.594666
1996,4675.133161,1551.17016,11620.33145,2140.006355,6992.475484
1997,4920.254438,1604.150121,12373.31664,2187.135005,7175.763732
1998,5149.259026,1656.988102,11302.46384,2213.016657,7176.812841
1999,5431.885831,1712.408523,11875.81129,2202.409952,7344.811918
2000,5794.125257,1771.536555,12913.17492,2306.114523,7714.907526
2001,6015.095736,1837.249337,12976.67579,2434.246219,7989.760316
2002,6139.678989,1903.14674,13606.05103,2780.792298,8310.759384
2003,6334.571279,1989.766215,14369.82704,2964.362992,8608.734881
2004,6648.429019,2104.810524,15450.04856,3241.724496,9131.268581
2005,7033.918922,2241.286614,16454.21538,3467.105156,9790.638471
2006,7606.755734,2394.929847,17549.60295,3690.840249,10518.41754
2007,8219.482749,2500.804218,18784.48431,3934.842537,11233.92813
2008,8820.716506,2711.875353,19695.07921,4170.732914,11661.27813
2009,9131.499098,2792.967834,19193.19186,4420.974011,11409.57161
2010,9522.509163,2973.833421,20508.75753,4703.204831,11721.55437
2011,9686.046264,3379.484599,21704.74427,4922.702345,12172.41141
2012,11092.74326,3781.865529,22985.80166,4982.945399,12057.57589
2013,11221.38039,5294.820027,23477.99117,5225.172934,12450.98706
2014,10895.94317,5256.666241,24607.66873,5507.169495,12521.12855
2015,11512.40214,5005.016285,24801.88843,5426.332787,12552.33967
2016,11192.37301,4844.658221,25546.12952,5234.679127,12591.59185
2017,11014.48648,4983.688856,26661.50742,5190.356127,12701.34893
2018,11639.23909,5302.204005,28219.80261,5278.848395,12931.12276
2019,12260.72054,5625.09922,29564.00827,5352.679423,13009.66863
2020,12607.76223,5596.30712,27886.86114,5186.72353,12095.8564
